  -2.00000000      -8.00000000    
  -1.89999998      -6.85899973    
  -1.79999995      -5.83199930    
  -1.70000005      -4.91300011    
  -1.60000002      -4.09600019    
  -1.50000000      -3.37500000    
  -1.39999998      -2.74399996    
  -1.29999995      -2.19699979    
  -1.20000005      -1.72800016    
  -1.10000002      -1.33100009    
  -1.00000000      -1.00000000    
 -0.899999976     -0.728999913    
 -0.800000012     -0.512000024    
 -0.699999988     -0.342999995    
 -0.600000024     -0.216000021    
 -0.500000000     -0.125000000    
 -0.400000006      -6.40000030E-02
 -0.300000012      -2.70000026E-02
 -0.200000003      -8.00000038E-03
 -0.100000001      -1.00000005E-03
   0.00000000       0.00000000    
   1.00000000       1.00000000    
   2.00000000       8.00000000    
   3.00000000       27.0000000    
   4.00000000       64.0000000    
   5.00000000       125.000000    
   6.00000000       216.000000    
   7.00000000       343.000000    
   8.00000000       512.000000    
   9.00000000       729.000000    
   10.0000000       1000.00000    
   11.0000000       1331.00000    
   12.0000000       1728.00000    
   13.0000000       2197.00000    
   14.0000000       2744.00000    
   15.0000000       3375.00000    
   16.0000000       4096.00000    
   17.0000000       4913.00000    
   18.0000000       5832.00000    
   19.0000000       6859.00000    
   20.0000000       8000.00000    
